date,platform,product_name,category,sub_category,region,units_sold,unit_price,revenue,discount,final_price,marketing_spend,holiday_flag,customer_rating,return_rate,stock_available,competitor_price,delivery_time_days,platform_fee,profit_margin,sentiment_score,day_of_week,month,year,promotion_type,customer_name,customer_age,mobile_number,customer_region
2024-12-07,Myntra,Watch,Accessories,Watches,East,14,1583.45,19951.43,10,1425.1,1137.6,0,2,0.15,414,1622.45,1,71.26,0.23,-0.66,Saturday,12,2024,None,Kabir,58,9349568038,East
2024-12-31,Amazon,Smartphone,Electronics,Mobiles,East,68,1372.26,83982.4,10,1235.04,1730.4,1,2,0.02,451,1361.6,4,61.75,0.25,-0.39,Tuesday,12,2024,Bogo,Saanvi,35,9470380032,South
2024-12-19,Ajio,Smartphone,Electronics,Mobiles,East,68,112.95,6912.41,10,101.65,1073.29,0,4,0.18,323,171.96,4,5.08,0.37,0.69,Thursday,12,2024,None,Vivaan,52,9620919300,North
2024-12-10,Ajio,Shirt,Clothing,Topwear,West,74,260.35,15412.45,20,208.28,314.32,0,1,0.11,222,253.67,1,10.41,0.12,-0.23,Tuesday,12,2024,Coupon,Aarav,32,9767352732,South
2024-12-27,Ajio,Smartphone,Electronics,Mobiles,East,23,421.9,9703.76,0,421.9,481.61,0,4,0.18,339,397.15,3,21.1,0.36,0.88,Friday,12,2024,Coupon,Anaya,44,9356637617,South
2024-12-09,Ajio,Shoes,Footwear,Casual Shoes,North,140,1771.66,223229.37,10,1594.5,951.43,0,2,0.17,189,1815.48,3,79.72,0.14,-0.3,Monday,12,2024,Coupon,Anaya,34,9843335366,West
2025-01-04,Ajio,Smartphone,Electronics,Mobiles,West,61,1624.87,79293.78,20,1299.9,2001.8,0,1,0.18,492,1596.37,1,64.99,0.22,-0.19,Saturday,1,2025,Bogo,Reyansh,57,9449766566,North
2024-12-17,Myntra,Shirt,Clothing,Topwear,North,151,342.0,46478.07,10,307.8,759.42,0,5,0.17,494,341.8,5,15.39,0.13,-0.2,Tuesday,12,2024,Bogo,Diya,19,9919196966,West
2024-12-15,Amazon,Jeans,Clothing,Bottomwear,North,41,964.05,35573.53,10,867.65,1875.91,0,3,0.02,74,897.52,5,43.38,0.12,0.29,Sunday,12,2024,None,Anaya,48,9401877905,East
2024-12-14,Amazon,Shoes,Footwear,Casual Shoes,North,103,406.59,41878.7,0,406.59,1791.63,0,4,0.15,498,354.9,2,20.33,0.29,0.16,Saturday,12,2024,Flash Sale,Diya,54,9872325879,North
2024-12-28,Ajio,Smartphone,Electronics,Mobiles,West,63,1877.92,94647.35,20,1502.34,3577.95,0,2,0.1,42,1931.97,6,75.12,0.16,0.62,Saturday,12,2024,Flash Sale,Vivaan,58,9317757808,West
2025-01-11,Ajio,Jeans,Clothing,Bottomwear,West,164,1969.91,226146.06,30,1378.94,4663.97,0,1,0.19,299,1950.49,4,68.95,0.3,-0.53,Saturday,1,2025,Flash Sale,Anaya,58,9107737614,West
2025-01-06,Myntra,Jeans,Clothing,Bottomwear,West,150,742.14,77925.01,30,519.5,3993.93,0,1,0.09,492,669.79,5,25.98,0.36,0.6,Monday,1,2025,Coupon,Saanvi,51,9932049786,East
2024-12-11,Ajio,Shirt,Clothing,Topwear,West,96,1208.21,81191.47,30,845.74,118.72,0,5,0.15,156,1294.38,1,42.29,0.21,-0.46,Wednesday,12,2024,Coupon,Aarav,51,9000103983,South
2024-12-31,Amazon,Watch,Accessories,Watches,North,190,798.65,151742.77,0,798.65,3697.72,1,4,0.18,22,755.89,3,39.93,0.16,-0.14,Tuesday,12,2024,Coupon,Saanvi,20,9368600330,South
2024-12-20,Meesho,Shirt,Clothing,Topwear,West,164,101.14,16586.32,0,101.14,4761.84,0,1,0.11,454,38.56,1,5.06,0.19,-0.17,Friday,12,2024,Flash Sale,Saanvi,34,9591472868,South
2025-01-07,Amazon,Shirt,Clothing,Topwear,East,196,1881.75,258176.47,30,1317.23,1327.85,0,5,0.09,166,1960.77,1,65.86,0.37,0.44,Tuesday,1,2025,Bogo,Diya,31,9042336979,East
2024-12-12,Meesho,Watch,Accessories,Watches,East,126,161.97,16326.99,20,129.58,4759.55,0,2,0.07,273,260.46,5,6.48,0.27,-0.28,Thursday,12,2024,Bogo,Kiara,31,9496222354,West
2024-12-09,Myntra,Shirt,Clothing,Topwear,West,171,717.7,85908.41,30,502.39,118.7,0,5,0.03,147,663.13,3,25.12,0.31,0.03,Monday,12,2024,Flash Sale,Kiara,55,9744914615,North
2025-01-04,Ajio,Shoes,Footwear,Casual Shoes,East,24,777.58,13063.37,30,544.31,3882.96,0,4,0.03,318,870.66,1,27.22,0.36,-0.03,Saturday,1,2025,Coupon,Myra,52,9648390776,East
2025-01-03,Meesho,Watch,Accessories,Watches,West,131,305.13,31977.48,20,244.1,755.43,0,5,0.13,329,307.08,1,12.21,0.22,-0.95,Friday,1,2025,None,Anaya,18,9712807764,South
2024-12-22,Ajio,Shoes,Footwear,Casual Shoes,East,90,1776.97,111949.07,30,1243.88,928.89,0,1,0.17,203,1845.97,5,62.19,0.17,0.09,Sunday,12,2024,Flash Sale,Aarav,46,9399995043,South
2024-12-29,Flipkart,Smartphone,Electronics,Mobiles,East,101,340.28,30931.64,10,306.25,4523.86,0,1,0.08,270,280.07,6,15.31,0.27,0.29,Sunday,12,2024,None,Aarav,21,9368774512,North
2025-01-07,Meesho,Jeans,Clothing,Bottomwear,North,173,1808.96,250360.18,20,1447.17,2557.09,0,3,0.09,218,1856.32,2,72.36,0.13,0.51,Tuesday,1,2025,Coupon,Kabir,50,9412354931,East
2024-12-24,Flipkart,Shoes,Footwear,Casual Shoes,East,11,1414.38,14002.34,10,1272.94,2388.39,1,5,0.05,441,1363.1,4,63.65,0.18,-0.55,Tuesday,12,2024,Coupon,Saanvi,34,9446034770,South
2024-12-23,Myntra,Shirt,Clothing,Topwear,East,106,1146.08,85039.45,30,802.26,1736.12,0,2,0.13,340,1198.09,4,40.11,0.25,0.21,Monday,12,2024,Flash Sale,Aarav,45,9490011832,East
2025-01-05,Ajio,Shoes,Footwear,Casual Shoes,North,127,1404.64,124872.12,30,983.25,1481.8,0,4,0.1,33,1329.22,5,49.16,0.28,-0.83,Sunday,1,2025,Flash Sale,Vivaan,43,9015843486,West
2024-12-05,Amazon,Jeans,Clothing,Bottomwear,West,198,1601.03,317003.1,0,1601.03,2285.43,0,3,0.11,215,1652.7,5,80.05,0.33,0.45,Thursday,12,2024,Bogo,Ishaan,25,9737546524,East
2025-01-15,Ajio,Jeans,Clothing,Bottomwear,North,64,904.81,57908.04,0,904.81,4225.68,0,5,0.13,415,964.01,1,45.24,0.3,0.67,Wednesday,1,2025,None,Saanvi,51,9863641567,West
